CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
ABANICO,813,823,780,787,718,711,674,594,587,685,728,624,8524
ABARCO,3550,3914,3399,3339,3654,3773,3809,3596,3204,3441,3236,3306,42221
ABEJAS,151,146,153,154,162,119,166,160,191,164,182,171,1919
ACACIA ESTE,0,0,3,5,5,4,2,3,2,2,4,2,32
ACAE SAN MIGUEL,1579,1613,1610,1577,1554,1565,1605,1594,1556,1553,1528,1433,18767
ACORDIONERO,6522,6086,6040,7106,8144,9956,10353,10547,11498,12724,14793,16423,120192
ADALIA,667,679,658,629,612,598,608,571,564,570,544,547,7247
AGAVE,0,0,0,5,2,0,0,0,0,0,0,0,7
AGUAS BLANCAS,45,121,0,11,9,70,294,302,294,302,236,221,1905
AKACIAS,3752,4492,4186,6088,4956,5447,5579,6571,6774,6732,6285,6282,67144
AKIRA,2397,2096,1756,1998,1670,1512,1492,1452,1828,1810,1737,1579,21327
ALEPE,168,168,167,167,166,166,165,159,163,176,162,160,1987
Alligator,0,0,0,0,0,0,0,0,0,0,0,79,79
ALMAGRO,109,121,121,112,118,117,114,114,176,191,229,256,1778
ALPHA,27,41,25,0,0,0,0,26,41,21,0,0,181
ALTAIR,57,57,51,51,54,41,26,51,49,52,30,55,574
ALVA SUR,0,0,29,64,79,80,79,18,0,0,0,0,349
AMBAR,1705,1685,1659,1648,1437,1558,1562,1602,1622,1445,1402,1647,18972
AMBROSÍA,34,32,33,31,40,36,33,26,22,32,49,39,407
ANDALUCIA SUR,79,95,92,94,92,89,83,63,63,50,30,45,875
ANDALUZ,0,0,0,0,28,57,129,335,298,186,299,258,1590
ANDARRIOS,204,204,200,196,201,204,195,184,177,170,165,158,2258
APAMATE,0,0,0,0,0,0,0,0,0,0,0,0,0
APIAY,4012,4376,4209,3987,3615,3811,3882,3658,3454,3719,3550,3654,45927
APIAY ESTE,477,378,508,427,377,426,425,460,442,398,403,500,5221
ARAGUATO,150,138,21,148,150,138,197,211,210,211,224,237,2035
ARAUCA,0,0,0,0,0,0,0,0,0,6,3,3,12
ARAUCO,96,92,87,84,81,75,73,73,74,74,71,70,950
ARDILLA,140,97,89,94,1517,1782,1597,1402,1278,1185,1049,660,10890
AREA TECA-COCORNA,1624,1495,1388,1401,1443,1504,1502,1506,1410,1342,1438,1377,17430
ARRAYÁN,614,624,616,603,584,564,549,530,520,499,477,464,6644
ARUCO,0,0,0,0,32,235,206,210,193,162,177,164,1379
ATARRAYA,478,476,442,437,420,411,403,391,381,364,371,343,4917
ATARRAYA OESTE,265,276,146,163,0,0,0,0,86,104,92,87,1219
AULLADOR,304,275,140,208,553,527,485,397,431,419,418,417,4574
AUSTRAL,116,120,77,87,83,113,19,48,97,87,84,66,997
AVISPA,11371,12058,12291,12571,12205,12159,12157,11830,11254,10736,10008,9306,137946
AZAFRÁN,0,0,0,685,571,0,0,0,820,708,585,535,3904
AZOR,526,516,520,465,459,445,433,407,387,371,357,356,5242
BACANO,326,544,178,1869,2687,816,4074,3147,1511,4340,3947,1817,25256
BALCÓN,969,964,1009,993,985,914,973,983,997,978,925,958,11648
BANDOLA,0,0,14,0,0,0,0,0,0,0,0,0,14
BARQUEREÑA,281,279,247,236,261,206,64,196,223,234,232,223,2682
BASTIDAS,290,248,242,263,272,285,214,132,142,95,41,43,2267
BAÚL,0,0,16,27,22,10,27,24,23,22,22,7,200
BAYONERO,202,901,220,508,245,144,874,507,678,615,518,711,6123
BEGONIA,768,760,718,688,662,639,633,593,573,548,539,527,7648
BOLÍVAR,44,46,50,49,48,47,47,47,46,45,45,45,559
BONANZA,2216,2191,2237,2207,2247,2162,2238,2169,2150,2123,2062,1904,25906
