DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
ANTIOQUIA,19315,19103,19090,18921,18769,19119,18354,18023,17810,17641,17706,17294,221145
ARAUCA,49390,50454,8405,49794,51312,50347,43063,47976,48428,47139,44687,46904,537899
ATLANTICO,45,26,22,18,18,56,0,48,132,115,181,210,871
BOLIVAR,10463,10570,10127,10278,10553,10358,10479,10332,10326,10077,9683,9617,122863
BOYACA,38158,38404,37328,36785,36072,35850,36062,35559,36051,35441,35192,35249,436151
CASANARE,161932,162532,163287,163825,168258,164141,167270,164715,161816,169906,167435,167898,1983015
CAUCA,902,869,962,935,991,954,963,791,749,786,772,802,10476
CESAR,10514,10165,10324,11112,12228,13961,14318,14951,16057,16631,19049,20524,169834
CORDOBA,0,0,0,0,2,4,3,2,2,1,1,1,16
CUNDINAMARCA,354,346,311,264,266,254,260,257,264,252,249,209,3286
DEPARTAMENTO NN,0,0,0,0,0,0,39,83,0,0,0,0,122
HUILA,26485,26257,25880,25404,25233,24871,24948,25113,24196,24255,24873,24922,302437
MAGDALENA,238,261,283,278,249,275,260,245,235,230,199,170,2923
META,426847,431391,412498,426619,422730,423563,426877,425242,421551,424731,416404,427831,5086284
NARINO,285,318,218,297,333,175,73,289,319,326,281,270,3184
NORTE DE SANTANDER,3208,3051,3191,3117,3145,3163,3133,3161,3264,3206,2999,2917,37555
PUTUMAYO,36460,34821,35227,34570,35059,36194,35481,37633,36237,38602,34815,37308,432407
SANTANDER,60419,59318,59733,59424,51388,57936,59194,58465,59058,59213,60766,62523,707437
SUCRE,32,43,37,39,39,43,44,41,24,41,43,43,469
TOLIMA,15430,16593,17381,16768,15871,15747,15579,15594,15671,15262,15718,15619,191233
