MUNICIPIO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
ACACIAS,95549,94529,82889,97433,99728,101368,98077,103977,101237,100543,98307,100965,1174602
AGUACHICA,221,237,252,202,238,228,268,523,839,644,856,822,5330
AGUAZUL,22163,20229,20690,21157,20595,20478,18782,18798,18685,18672,18537,17734,236520
AIPE,7692,7720,7337,7071,7004,6962,6794,6951,6970,6899,6943,7048,85391
ALVARADO,35,31,44,31,27,6,0,0,0,0,0,0,174
ARAUCA,36883,37822,5580,36665,37826,37318,31848,35889,35808,34340,31948,33246,395173
ARAUQUITA,12507,12632,2825,13129,13486,13029,11215,12087,12620,12611,12107,12666,140914
ARIGUANI,204,230,257,257,230,254,246,235,223,204,192,164,2696
BARAYA,79,95,92,94,92,89,83,63,63,50,30,45,875
BARRANCA DE UPIA,341,348,406,452,481,698,746,854,895,908,919,901,7949
BARRANCABERMEJA,43410,42701,43449,43192,34941,41636,42976,43121,44028,44402,46424,47882,518162
BOLIVAR,0,0,16,27,22,10,27,24,23,22,22,7,200
CABUYARO,17132,18034,18033,17744,19463,19384,18905,18526,18059,17237,16971,18324,217812
CANTAGALLO,9683,9819,9369,9516,9780,9593,9715,9555,9568,9352,8990,8972,113912
CASTILLA NUEVA,76044,76399,74449,74762,72771,71577,74127,68915,67121,70689,69888,69334,866076
CHAPARRAL,217,213,210,205,204,173,221,210,210,203,204,195,2465
CICUCO,481,481,478,481,480,481,469,461,450,459,448,398,5567
CIMITARRA,82,62,34,35,33,33,31,31,28,27,24,13,433
CORRALES,339,326,323,142,20,237,302,316,376,285,247,405,3318
CUCUTA,445,449,446,411,387,421,449,447,459,435,423,241,5013
EL CARMEN DE CHUCURI,50,53,51,52,52,51,50,51,50,51,49,49,609
ESPINAL,813,823,780,787,718,711,674,594,587,685,728,624,8524
GARZON,0,2,8,16,61,0,0,0,0,1,0,40,128
GUADUAS,200,200,190,177,172,170,169,167,164,163,163,158,2093
GUAMAL,20668,21978,18445,21133,20718,20637,20596,19106,18854,19337,19992,20274,241738
GUAMO,0,0,0,0,5,5,2,1,0,1,1,1,16
IPIALES,285,318,218,297,333,175,73,289,319,326,281,270,3184
LA ESPERANZA,54,53,54,54,52,54,50,52,53,51,54,54,635
LOS PALMITOS,5,6,4,5,5,4,4,4,3,3,3,5,51
MANI,6219,5609,5459,6202,5545,5432,5402,5310,5290,5194,5133,5628,66423
MELGAR,10048,10652,11081,10706,9848,9815,9632,9425,9547,9032,9201,9159,118146
MOCOA,6326,6642,6309,6024,5543,5606,5399,4940,4618,4612,4466,4299,64784
MONTERREY,894,825,722,598,309,76,25,179,154,429,450,231,4892
MUNICIPIO NN,0,0,0,0,0,0,39,83,0,0,0,0,122
MUNICIPIO NN CASANARE,84,86,86,85,86,86,85,85,84,2513,3210,2968,9458
MUNICIPIO NN SANTANDER,43,39,32,30,33,34,32,33,34,33,34,34,411
NEIVA,10863,10886,11005,10626,10517,10580,10393,10261,9869,9988,10078,9849,124915
NUNCHIA,8,2,0,0,0,6,5,0,0,0,0,0,21
ORITO,4382,4320,4105,3844,3580,3287,3673,3851,3855,3293,3176,3550,44916
