DEPARTAMENTO,MUNICIPIO,OPERADORA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
ANTIOQUIA,PUERTO NARE,ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,1231,1109,1026,1036,1047,1122,1133,1164,1130,1078,1156,1099
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,NARE,272,257,253,233,262,216,194,162,232,244,222,209
ANTIOQUIA,PUERTO NARE,MANSAROVAR ENERGY COLOMBIA LTD,NARE ASOCIACION,UNDERRIVER,936,797,880,900,994,802,765,815,888,846,720,833
ANTIOQUIA,PUERTO TRIUNFO,ECOPETROL S.A.,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,393,386,362,365,396,382,369,342,280,264,282,278
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,CASABE,12745,12535,12756,12720,12492,13127,12377,12084,11965,11751,11932,11634
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,CASABE SUR,2301,2487,2393,2268,2187,2277,2323,2274,2125,2254,2194,2123
ANTIOQUIA,YONDO,ECOPETROL S.A.,CASABE,PEÑAS BLANCAS,1437,1532,1420,1399,1391,1193,1193,1182,1190,1204,1200,1118
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,CHIPIRÓN,11376,13009,3673,12833,11878,11159,10682,11371,11045,10036,9120,8406
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,GALEMBO,5,0,54,400,297,234,215,233,262,253,38,226
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,MACANA,111,524,209,440,505,519,422,455,397,350,454,407
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO LIMÓN,21342,20543,1472,19513,21137,21463,17795,20321,20343,20225,18639,20420
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,CAÑO YARUMAL,4033,3714,172,3455,3991,3922,2720,3487,3738,3454,3678,3773
ARAUCA,ARAUCA,OCCIDENTAL DE COLOMBIA LLC,CRAVO NORTE,TONINA,16,32,0,24,18,21,14,22,23,22,19,14
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,ARAGUATO,150,138,21,148,150,138,197,211,210,211,224,237
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,BAYONERO,202,901,220,508,245,144,874,507,678,615,518,711
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,CHIPIRÓN,338,298,83,293,126,178,145,194,213,226,434,607
ARAUCA,ARAUQUITA,OCCIDENTAL DE COLOMBIA LLC,CHIPIRON,GALEMBO,0,0,0,0,0,0,0,0,0,0,186,0
